iter	MAE
0	10.27839226
1	10.14929945
2	10.02393356
3	9.891153368
4	9.77226844
5	9.656660206
6	9.535134416
7	9.436642022
8	9.338908902
9	9.235932172
10	9.139632437
11	9.048188705
12	8.95613166
13	8.872959374
14	8.789834806
15	8.701255883
16	8.625224639
17	8.546698115
18	8.478463906
19	8.426544842
20	8.349800161
21	8.294532956
22	8.232320534
23	8.177121502
24	8.115704136
25	8.064703592
26	8.024663252
27	7.973685095
28	7.922460711
29	7.874833541
30	7.835749111
31	7.790419298
32	7.751278622
33	7.706931652
34	7.66646355
35	7.629339304
36	7.594225878
37	7.561941824
38	7.525190839
39	7.489474783
40	7.460975018
41	7.426734513
42	7.394689323
43	7.368172672
44	7.338740947
45	7.31550335
46	7.286005057
47	7.257438942
48	7.229807567
49	7.204640689
50	7.191269258
51	7.16348922
52	7.148379897
53	7.119945123
54	7.097628533
55	7.07770417
56	7.053413062
57	7.03772145
58	7.018343827
59	6.999849648
60	6.979325991
61	6.962683411
62	6.946360554
63	6.933021167
64	6.915065602
65	6.899405394
66	6.883315327
67	6.865920146
68	6.854099146
69	6.843247137
70	6.829661008
71	6.81763031
72	6.805162378
73	6.795680493
74	6.783892702
75	6.771923207
76	6.758412882
77	6.748857782
78	6.739341926
79	6.733468596
80	6.720061441
81	6.709059399
82	6.698354355
83	6.688208484
84	6.676632812
85	6.668555395
86	6.660034836
87	6.651193799
88	6.641915804
89	6.632779502
90	6.62489582
91	6.615578868
92	6.611619539
93	6.603975282
94	6.598600532
95	6.592172583
96	6.587749862
97	6.582229324
98	6.577918458
99	6.57117503
100	6.563950538
101	6.558040566
102	6.552201407
103	6.545886662
104	6.541607507
105	6.535664865
106	6.530832547
107	6.52143925
108	6.515048057
109	6.508880048
110	6.50475843
111	6.502290557
112	6.498154209
113	6.493362212
114	6.489150779
115	6.483399737
116	6.479273102
117	6.472696251
118	6.469634696
119	6.466743629
120	6.463117165
121	6.460175435
122	6.453891245
123	6.449973542
124	6.447577429
125	6.445604781
126	6.442140928
127	6.438627662
128	6.430531289
129	6.428274667
130	6.424748291
131	6.421759486
132	6.416765816
133	6.413026672
134	6.410009272
135	6.406416568
136	6.402948601
137	6.398942489
138	6.394566517
139	6.391199418
140	6.388535981
141	6.386556651
142	6.382671858
143	6.379388762
144	6.377118149
145	6.374132819
146	6.371463535
147	6.368623974
148	6.364819424
149	6.362584795
150	6.359680234
151	6.357328382
152	6.355220463
153	6.353352232
154	6.349943009
155	6.347393709
156	6.344952681
157	6.342673168
158	6.34026946
159	6.337686318
160	6.335531596
161	6.333130062
162	6.331347773
163	6.328503462
164	6.326113848
165	6.323462951
166	6.32082216
167	6.315605241
168	6.313508359
169	6.311623178
170	6.307837937
171	6.306978646
172	6.305135142
173	6.301142917
174	6.299009806
175	6.296702428
176	6.292677365
177	6.291685515
178	6.290375871
179	6.287167449
180	6.284637424
181	6.280983481
182	6.278652761
183	6.274335586
184	6.27172358
185	6.269707621
186	6.267283151
187	6.264801875
188	6.263333837
189	6.261078789
190	6.257849897
191	6.254442729
192	6.253657583
193	6.252387581
194	6.250457033
195	6.247515392
196	6.246497112
197	6.244890798
198	6.243363608
199	6.242524559
200	6.240498919
201	6.238399103
202	6.237434929
203	6.236463489
204	6.233382333
205	6.230863459
206	6.229477773
207	6.226896092
208	6.224965676
209	6.223441006
210	6.221466744
