iter	Passed	Remaining
0	6	6134
1	10	5470
2	15	5251
3	20	5093
4	25	5031
5	30	4988
6	34	4830
7	38	4721
8	42	4672
9	46	4559
10	49	4442
11	52	4349
12	56	4296
13	59	4222
14	63	4181
15	67	4130
16	70	4081
17	74	4055
18	77	4007
19	80	3964
20	84	3937
21	87	3904
22	91	3880
23	94	3853
24	98	3828
25	101	3805
26	104	3776
27	108	3754
28	111	3736
29	115	3722
30	118	3703
31	121	3688
32	125	3668
33	128	3650
34	132	3645
35	136	3648
36	139	3643
37	143	3636
38	147	3631
39	150	3616
40	154	3602
41	157	3590
42	160	3580
43	164	3565
44	167	3553
45	171	3547
46	174	3534
47	177	3522
48	181	3514
49	184	3503
50	187	3493
51	191	3487
52	194	3481
53	198	3472
54	201	3463
55	204	3455
56	208	3446
57	211	3437
58	214	3427
59	218	3417
60	221	3408
61	224	3400
62	228	3393
63	231	3387
64	234	3380
65	238	3372
66	241	3366
67	245	3359
68	248	3352
69	251	3346
70	255	3339
71	258	3329
72	261	3321
73	264	3314
74	268	3306
75	271	3298
76	274	3293
77	277	3285
78	281	3281
79	284	3274
80	288	3268
81	291	3261
82	294	3256
83	298	3250
84	301	3244
85	304	3237
86	307	3231
87	311	3225
88	314	3221
89	318	3216
90	321	3211
91	324	3206
92	328	3200
93	331	3197
94	335	3195
95	338	3191
96	342	3184
97	345	3178
98	348	3173
99	352	3168
100	355	3163
101	358	3156
102	361	3151
103	365	3146
104	368	3140
105	371	3136
106	375	3134
107	378	3130
108	382	3125
109	385	3122
110	389	3117
111	392	3111
112	395	3105
113	398	3100
114	402	3094
115	405	3089
116	408	3085
117	412	3083
118	416	3080
119	419	3076
120	422	3071
121	426	3066
122	429	3062
123	433	3060
124	436	3058
125	440	3053
126	443	3050
127	447	3046
128	450	3041
129	453	3037
130	457	3031
131	460	3025
132	464	3026
133	467	3022
134	471	3018
135	474	3014
136	477	3009
137	481	3004
138	484	3000
139	487	2996
140	491	2991
141	494	2988
142	498	2984
143	501	2979
144	504	2975
145	507	2970
146	511	2965
147	514	2960
148	517	2955
149	520	2950
150	523	2945
151	527	2941
152	530	2937
153	533	2933
154	537	2929
155	540	2924
156	543	2920
157	547	2915
158	550	2910
159	553	2905
160	556	2899
161	559	2894
162	562	2889
163	565	2884
164	569	2880
165	572	2876
166	575	2872
167	579	2868
168	582	2864
169	585	2859
170	589	2856
171	592	2853
172	596	2849
173	599	2845
174	602	2841
175	605	2836
176	609	2833
177	612	2828
178	615	2823
179	619	2819
180	622	2815
181	625	2810
182	628	2806
183	632	2803
184	635	2799
185	638	2796
186	642	2793
187	645	2789
188	649	2785
189	652	2781
190	655	2777
191	659	2773
192	662	2769
193	665	2764
194	668	2760
195	671	2756
196	675	2751
197	678	2747
198	681	2743
199	684	2738
200	688	2735
201	691	2733
202	695	2729
203	698	2724
204	701	2720
205	704	2716
206	707	2711
207	711	2707
208	714	2703
209	717	2699
210	720	2695
211	724	2692
212	727	2688
213	730	2684
214	734	2680
215	737	2676
216	740	2672
217	744	2669
218	747	2664
219	750	2660
220	753	2657
221	757	2653
222	760	2650
223	763	2646
224	766	2641
225	770	2638
226	773	2634
227	776	2629
